Timestamp,Joy_LY,Joy_RY,Left_Speed,Right_Speed,Distance
2025-01-15 17:33:40,0,0,0,0,1.27
2025-01-15 17:33:40,0,0,0,0,1.28
2025-01-15 17:33:41,0,0,0,0,1.27
2025-01-15 17:33:41,0,0,0,0,1.27
2025-01-15 17:33:41,0,0,0,0,1.27
2025-01-15 17:33:41,0,0,0,0,1.27
2025-01-15 17:33:41,0,0,0,0,1.27
2025-01-15 17:33:41,0,0,0,0,1.27
2025-01-15 17:33:41,0,0,0,0,1.27
2025-01-15 17:33:41,2,14,2,14,1.27
2025-01-15 17:33:41,100,100,100,100,1.28
2025-01-15 17:33:41,100,100,100,100,1.28
2025-01-15 17:33:42,100,100,100,100,1.27
2025-01-15 17:33:42,100,100,100,100,1.27
2025-01-15 17:33:42,100,100,100,100,1.27
2025-01-15 17:33:42,100,-12,100,-12,1.26
2025-01-15 17:33:42,100,-99,100,-99,1.24
2025-01-15 17:33:42,100,-99,100,-99,1.23
2025-01-15 17:33:42,100,-99,100,-99,1.21
2025-01-15 17:33:42,-35,100,-35,100,1.19
2025-01-15 17:33:42,-99,100,-99,100,1.18
2025-01-15 17:33:42,-99,100,-99,100,1.18
2025-01-15 17:33:43,35,100,35,100,1.17
2025-01-15 17:33:43,100,100,100,100,1.15
2025-01-15 17:33:43,100,100,100,100,1.13
2025-01-15 17:33:43,100,100,100,100,1.10
2025-01-15 17:33:43,100,100,100,100,1.08
2025-01-15 17:33:43,100,64,100,64,1.04
2025-01-15 17:33:43,100,-99,100,-99,1.04
2025-01-15 17:33:43,100,-99,100,-99,1.01
2025-01-15 17:33:43,100,-99,100,-99,0.98
2025-01-15 17:33:43,100,100,100,100,0.94
2025-01-15 17:33:44,-71,100,-71,100,0.91
2025-01-15 17:33:44,-99,100,-99,100,0.88
2025-01-15 17:33:44,-99,100,-99,100,0.84
2025-01-15 17:33:44,-13,100,-13,100,0.81
2025-01-15 17:33:44,95,100,95,100,0.79
2025-01-15 17:33:44,100,100,100,100,0.76
2025-01-15 17:33:44,100,65,100,65,0.72
2025-01-15 17:33:44,100,-99,100,-99,0.70
2025-01-15 17:33:44,100,-99,100,-99,0.66
2025-01-15 17:33:44,100,-99,79,-100,0.63
